Titolo;Metascore;Metascore_Reviews;User_Score;Developer;Genres;Released_on
Goat Simulator;62;39;66;Coffee Stain Studios;Open-World Action;01/04/2014
Goat Simulator Remastered;65;4;42;Coffee Stain Studios;Open-World Action;07/11/2024
Goat Simulator 3;68;26;79;Coffee Stain North;Open-World Action;17/11/2022
GoldenEye 007;96;21;89;Rare Ltd.;FPS;25/08/1997
Golf With Your Friends;68;12;55;Blacklight Interactive;Golf;19/05/2020
GRID Legends;76;36;63;Codemasters;Auto Racing Sim;25/02/2022
Grim Fandango Remastered;80;45;78;Double Fine Productions;Third-Person Adventure;27/01/2015
GRIS;83;46;81;Nomada Studio;2D Platformer;13/12/2018
Grounded;83;30;79;Obsidian Entertainment;Sandbox;27/09/2022
The Gunk;70;43;68;Image & Form;3D Platformer;16/12/2021
Halo: Combat Evolved Anniversary;82;73;80;343 Industries;FPS;15/11/2011
Halo 2: Anniversary;71;5;79;343 Industries;FPS;12/05/2020
Halo 3;94;86;87;Bungie;FPS;25/09/2007
Halo 3: ODST;91;4;78;343 Industries;FPS;22/09/2020
Halo 4;87;87;71;343 Industries;FPS;06/11/2012
Halo 5: Guardians;84;103;64;343 Industries;FPS;27/10/2015
Halo Infinite;87;110;79;343 Industries;FPS;15/11/2021
Halo: Reach;91;99;84;Bungie;FPS;14/09/2010
Halo Wars Def. Ed.;81;9;78;Microsoft Game Studios;Command RTS;21/02/2017
Halo Wars 2;79;85;65;Creative Assembly;Real-Time Strategy;17/02/2017
Halo: Spartan Assault;53;28;45;343 Industries - Vanguard;Top-Down Shoot-'Em-Up;23/12/2013
Halo: Spartan Strike;66;9;63;343 Industries - Vanguard Games;Top-Down Shoot-'Em-Up;16/04/2015
Halo: The Master Chief Collection;85;69;78;343 Industries;Compilation;11/11/2014
Harold Halibut;69;28;68;Slow Bros.;Adventure;16/04/2024
Hauntii;69;10;73;Moonloop Games LLC;Action Adventure;23/05/2024
Have a Nice Death;81;27;74;Magic Design Studios;2D Platformer;22/03/2023
Heavy Weapon;77;17;73;PopCap;Vertical Shoot-'Em-Up;17/01/2007
Hell Let Loose;79;15;64;Black Matter;Tactical FPS;27/07/2021
